epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0295,1.15927,1.39299,0.01926,0.91138,0.9074,0.93423,0.71099,0.83269,0.83784,0.021,0.000662366,0.000662366,0.000662366
2,95.957,0.95987,0.80349,0.01573,0.92101,0.91458,0.95667,0.77976,0.80844,0.5844,0.0214,0.00130272,0.00130272,0.00130272
3,144.464,0.9659,0.76889,0.01529,0.96092,0.96427,0.97659,0.76858,0.78905,0.45365,0.01949,0.00191667,0.00191667,0.00191667
4,193.167,0.9089,0.68361,0.01437,0.94209,0.9569,0.96267,0.78796,0.74857,0.4293,0.01769,0.0018812,0.0018812,0.0018812
5,240.7,0.89992,0.68235,0.01383,0.96359,0.96078,0.9757,0.80289,0.70421,0.46712,0.01635,0.0018416,0.0018416,0.0018416
6,290.467,0.93551,0.68303,0.015,0.93293,0.95459,0.94153,0.76597,0.8471,0.51116,0.02078,0.001802,0.001802,0.001802
7,337.941,0.8807,0.62912,0.01443,0.96292,0.95098,0.96968,0.79713,0.72463,0.50344,0.01822,0.0017624,0.0017624,0.0017624
8,385.547,0.85385,0.62852,0.01339,0.9124,0.94118,0.94178,0.77832,0.72338,0.60356,0.01702,0.0017228,0.0017228,0.0017228
9,434.351,0.86994,0.60805,0.01351,0.92148,0.93137,0.95351,0.7709,0.75699,0.54055,0.01849,0.0016832,0.0016832,0.0016832
10,482.554,0.87016,0.64476,0.01345,0.98018,0.96982,0.9742,0.81018,0.69266,0.40972,0.01631,0.0016436,0.0016436,0.0016436
11,533.616,0.80355,0.54178,0.01234,0.96948,0.9343,0.97709,0.82543,0.63401,0.46389,0.01522,0.001604,0.001604,0.001604
12,582.938,0.81592,0.57037,0.01276,0.97083,0.97899,0.98063,0.83561,0.6771,0.38403,0.01581,0.0015644,0.0015644,0.0015644
13,641.252,0.82122,0.57808,0.01243,0.95981,0.95098,0.97154,0.79468,0.73627,0.48688,0.0183,0.0015248,0.0015248,0.0015248
14,694.502,0.81705,0.55889,0.01305,0.97613,0.98039,0.96881,0.83087,0.6474,0.44952,0.01554,0.0014852,0.0014852,0.0014852
15,764.9,0.80842,0.56132,0.01273,0.96986,0.94644,0.97101,0.80746,0.75656,0.47225,0.01891,0.0014456,0.0014456,0.0014456
16,841.75,0.80123,0.56459,0.01226,0.95095,0.95041,0.95046,0.78662,0.71406,0.43995,0.01741,0.001406,0.001406,0.001406
17,937.218,0.7793,0.54196,0.01198,0.97662,0.97059,0.97634,0.84478,0.60745,0.41892,0.01395,0.0013664,0.0013664,0.0013664
18,1024.91,0.74787,0.50854,0.01228,0.97871,0.96078,0.97813,0.84087,0.63052,0.39458,0.01608,0.0013268,0.0013268,0.0013268
19,1118.84,0.73269,0.47901,0.01153,0.98037,0.97911,0.97126,0.84542,0.63121,0.38839,0.0149,0.0012872,0.0012872,0.0012872
20,1203.6,0.75365,0.48557,0.01144,0.95072,0.97059,0.97022,0.84426,0.59958,0.41343,0.01369,0.0012476,0.0012476,0.0012476
21,1306.98,0.75503,0.52961,0.01167,0.94701,0.97059,0.97033,0.82691,0.63381,0.46776,0.01442,0.001208,0.001208,0.001208
22,1407.91,0.7491,0.49434,0.01107,0.97815,0.98039,0.97844,0.85235,0.59948,0.35632,0.01349,0.0011684,0.0011684,0.0011684
