epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,173.075,0.49721,3.11884,0.01104,0.99842,1,0.995,0.94174,0.3995,2.64322,0.01537,0.000665188,0.000665188,0.000665188
2,344.945,0.50312,1.26824,0.01088,0.99959,1,0.995,0.87763,0.68251,1.29115,0.02816,0.0012879,0.0012879,0.0012879
3,500.878,0.50866,0.71936,0.01092,0.99962,1,0.995,0.91676,0.4432,0.65376,0.01597,0.00186662,0.00186662,0.00186662
4,644.512,0.52149,0.50638,0.01139,0.99962,1,0.995,0.93893,0.30622,0.37903,0.01134,0.001802,0.001802,0.001802
5,789.194,0.48919,0.39358,0.01027,0.99865,1,0.995,0.92803,0.42337,0.33422,0.0154,0.001736,0.001736,0.001736
6,933.962,0.46458,0.33945,0.00986,0.99962,1,0.995,0.95701,0.27194,0.23698,0.00973,0.00167,0.00167,0.00167
7,1077.9,0.43441,0.29432,0.0091,0.99961,1,0.995,0.97791,0.27036,0.21438,0.00845,0.001604,0.001604,0.001604
8,1222.31,0.43078,0.27747,0.00862,0.99962,1,0.995,0.96447,0.29703,0.16959,0.01084,0.001538,0.001538,0.001538
9,1366.6,0.40083,0.26835,0.00805,0.99957,1,0.995,0.94109,0.44628,0.1994,0.01774,0.001472,0.001472,0.001472
10,1510.64,0.39841,0.23699,0.00806,0.99962,1,0.995,0.97808,0.30491,0.13711,0.01156,0.001406,0.001406,0.001406
11,1654.86,0.37662,0.22059,0.00767,0.99963,1,0.995,0.98367,0.27244,0.2077,0.00894,0.00134,0.00134,0.00134
12,1799.29,0.37307,0.22548,0.00746,0.99963,1,0.995,0.97285,0.26752,0.11833,0.00903,0.001274,0.001274,0.001274
13,1941.42,0.36331,0.21501,0.00719,0.99968,1,0.995,0.9844,0.22924,0.13322,0.00844,0.001208,0.001208,0.001208
14,2083.31,0.3428,0.19592,0.00668,0.99964,1,0.995,0.97753,0.2636,0.11537,0.01025,0.001142,0.001142,0.001142
15,2227.19,0.33616,0.19007,0.00673,0.99476,1,0.995,0.98741,0.27998,0.15148,0.01041,0.001076,0.001076,0.001076
16,2372.28,0.33372,0.18523,0.00653,0.99959,1,0.995,0.9897,0.21196,0.09218,0.00722,0.00101,0.00101,0.00101
17,2517.06,0.31992,0.17662,0.00616,0.99964,1,0.995,0.98813,0.20736,0.09368,0.00726,0.000944,0.000944,0.000944
18,2662.21,0.31021,0.18072,0.00599,0.99965,1,0.995,0.9883,0.15283,0.08854,0.00483,0.000878,0.000878,0.000878
19,2804.73,0.28347,0.16047,0.0054,0.99963,1,0.995,0.98931,0.20981,0.07948,0.00741,0.000812,0.000812,0.000812
20,2945.81,0.28666,0.16242,0.00553,0.99955,1,0.995,0.989,0.20207,0.09284,0.00683,0.000746,0.000746,0.000746
21,3100.31,0.28547,0.1341,0.00826,0.99957,1,0.995,0.9797,0.29292,0.12784,0.0115,0.00068,0.00068,0.00068
22,3237.57,0.26961,0.12744,0.00778,0.9995,1,0.995,0.98773,0.27378,0.11415,0.01048,0.000614,0.000614,0.000614
23,3375.2,0.24855,0.11915,0.007,0.99947,1,0.995,0.98924,0.22306,0.09919,0.00773,0.000548,0.000548,0.000548
24,3512.51,0.24503,0.11618,0.0069,0.99928,1,0.995,0.98971,0.20186,0.11198,0.00694,0.000482,0.000482,0.000482
25,3649.65,0.23021,0.10737,0.00631,0.9992,1,0.995,0.98965,0.18305,0.08219,0.00617,0.000416,0.000416,0.000416
26,3786.94,0.22513,0.112,0.00613,0.99909,1,0.995,0.99126,0.18356,0.09026,0.00641,0.00035,0.00035,0.00035
27,3924.16,0.2161,0.09672,0.0058,0.99935,1,0.995,0.99011,0.1817,0.08061,0.00631,0.000284,0.000284,0.000284
28,4061.48,0.20579,0.09699,0.00562,0.99943,1,0.995,0.98966,0.16744,0.0677,0.00579,0.000218,0.000218,0.000218
29,4199.32,0.20612,0.0881,0.00558,0.99928,1,0.995,0.9899,0.15125,0.06966,0.00504,0.000152,0.000152,0.000152
30,4337.11,0.19235,0.08999,0.00491,0.99925,1,0.995,0.99008,0.15174,0.07256,0.00511,8.6e-05,8.6e-05,8.6e-05
